LSV name	Delta Deltapsi (HS - Control)
NM_001274341:t:1630348-1632454	0.15380501072967265;1.1108852236364524e-05;-1.5150493753201562e-24;-0.3982988497330992;-0.1028498882988994;-0.058081693685007665;0.47721454342169245
NM_001275294:s:22800025-22800784	0.4720010606389455;-0.472001063376758
NM_001275293:s:22800025-22800784	0.4720010606389455;-0.472001063376758
NM_137103:s:14267695-14267919	-0.4713804905144174;0.471380512662016
NM_140041:t:9347640-9348336	-0.48368159726505666;0.0027757589148292502;0.46828085733868574
NM_001259764:t:9347640-9348336	-0.48368159726505666;0.0027757589148292502;0.46828085733868574
NM_001169433:s:7804571-7804915	-0.4682770492188454;0.46827713332851545
NM_169532:s:13647383-13647546	-0.46805712687740364;0.46805720047801724
NM_163886:s:21375060-21375912	-0.465318219528344;0.46531822783951193
NM_001104243:s:8938758-8938888	0.4576605570670687;-0.4576605766295362
NM_141589:s:8938814-8938888	0.4576605570670687;-0.4576605766295362
NM_001316546:s:8938758-8938888	0.4576605570670687;-0.4576605766295362
NM_001316547:s:8938814-8938888	0.4576605570670687;-0.4576605766295362
NM_001170088:s:8938814-8938888	0.4576605570670687;-0.4576605766295362
NM_001170087:s:8938758-8938888	0.4576605570670687;-0.4576605766295362
NM_001202269:s:8938758-8938888	0.4576605570670687;-0.4576605766295362
NM_001202268:s:8938814-8938888	0.4576605570670687;-0.4576605766295362
NM_132015:s:5672480-5672522	-0.23852405643048125;0.45738451398413693;-0.22596754470395197
NM_001297971:s:5672401-5672522	-0.23852405643048125;0.45738451398413693;-0.22596754470395197
NM_001298272:s:13318415-13319047	-0.17254040569177656;-0.34224326440932606;0.45731019313232946
NM_001298271:s:13318415-13319047	-0.17254040569177656;-0.34224326440932606;0.45731019313232946
NM_001103499:s:13318415-13319047	-0.17254040569177656;-0.34224326440932606;0.45731019313232946
NM_166768:t:560095-560300	-0.07024946631212857;-0.29251644513430314;-0.012404524746096237;0.001498207611125589;0.45352360492313615
NM_140945:s:20296081-20296284	0.45293308418487355;-0.4529329831523138
NM_001273853:t:7648297-7648510	0.45078000267128027;-0.00440061415587323;-0.43063144083968563
NM_170614:t:7648297-7648510	0.45078000267128027;-0.00440061415587323;-0.43063144083968563
NM_176100:t:7648297-7648510	0.45078000267128027;-0.00440061415587323;-0.43063144083968563
NM_001103740:t:7648297-7648510	0.45078000267128027;-0.00440061415587323;-0.43063144083968563
NM_176101:t:7648297-7648510	0.45078000267128027;-0.00440061415587323;-0.43063144083968563
NM_170613:t:7648297-7648510	0.45078000267128027;-0.00440061415587323;-0.43063144083968563
NM_001259256:t:7648297-7648510	0.45078000267128027;-0.00440061415587323;-0.43063144083968563
NM_001272133:t:560095-560300	-0.02244174258595259;-0.07240549177798566;-0.2965133856394882;-0.013685179846249935;0.4454736132729179
NM_167490:s:16278357-16278615	-0.051132727777170595;-0.14488882917330959;-0.2460668185710736;0.44424045789913374
NM_001275409:s:7192721-7193012	-0.4419072579092451;0.4419072906940431
NM_001275410:s:7192721-7193012	-0.4419072579092451;0.4419072906940431
NM_001260031:s:7192721-7193012	-0.4419072579092451;0.4419072906940431
NM_001275411:s:7192721-7193012	-0.4419072579092451;0.4419072906940431
NM_165272:s:19034419-19034576	0.43703098980677646;-0.4370309811113347
NM_001299720:s:20874695-20874757	-0.43574502105092755;0.43574494274505254
NM_001259021:s:9256940-9257413	-0.00010490891948113422;0.0004015444252970089;-0.28487810482081877;0.03878820012833292;4.215369570544546e-05;-0.28051427594048917;0.4340440731588071;0.015267744463778538
NM_164851:s:9256816-9257413	-0.00010490891948113422;0.0004015444252970089;-0.28487810482081877;0.03878820012833292;4.215369570544546e-05;-0.28051427594048917;0.4340440731588071;0.015267744463778538
NM_001169447:s:9256816-9257413	-0.00010490891948113422;0.0004015444252970089;-0.28487810482081877;0.03878820012833292;4.215369570544546e-05;-0.28051427594048917;0.4340440731588071;0.015267744463778538
NM_164495:s:2730104-2730469	0.010933615452864531;-0.046873133061445374;-0.3367091601937295;0.4326950215277504
NM_001259479:s:18522517-18522720	-0.43142727663034675;0.4314272500811591
NM_001169367:s:73485-73692	-0.43132745345714496;0.4313274517929544
NM_176102:s:7640117-7640617	0.43091458611371475;-0.4309145690964261
NM_001259258:s:7640117-7640617	0.43091458611371475;-0.4309145690964261
NM_001259259:s:7640117-7640617	0.43091458611371475;-0.4309145690964261
NM_168227:t:7656271-7661506	-0.40274313991669597;-9.540441309442172e-07;0.4280429550852459
NM_001300042:t:7656271-7661506	-0.40274313991669597;-9.540441309442172e-07;0.4280429550852459
NM_001104065:t:7656271-7661506	-0.40274313991669597;-9.540441309442172e-07;0.4280429550852459
NM_001104069:t:7656271-7661506	-0.40274313991669597;-9.540441309442172e-07;0.4280429550852459
NM_001273239:s:6919524-6920210	-0.4266622163370388;0.42666215244482947
NM_168366:s:9735970-9735992	-4.3975173068789576e-07;-0.4157949333157308;0.4262484516935989
NM_130638:t:2268938-2269739	0.017383247301402838;-0.011147329666098476;-0.1003104487919767;-0.0005429417032039091;0.4202474830132038;-0.2188311156710953;-0.0027761293139226383;-0.05305631806366129;0.0006778241472557844;0.00010420583456067386
NM_001300421:s:15957589-15957919	0.42018561763182366;-0.4201856331684164
NM_001272859:s:73820-73897	-0.4189313403513245;0.4189313431906491
NM_166201:t:16926337-16926807	-1.5150493753201562e-24;-0.3597354119053863;-1.5150493753201562e-24;0.4179347371045029;7.231471080068798e-08;-1.5150493753201562e-24;-1.5150493753201562e-24;-1.6181214458554644e-05
NM_001103880:t:16926337-16926807	-1.5150493753201562e-24;-0.3597354119053863;-1.5150493753201562e-24;0.4179347371045029;7.231471080068798e-08;-1.5150493753201562e-24;-1.5150493753201562e-24;-1.6181214458554644e-05
NM_164705:t:6715169-6715323	-0.3056665298092148;-0.009577668340529328;-0.048548908264616;0.41485607712809935
NM_206473:s:10866529-10866693	-0.41478461987169285;0.41478447882778025
NM_141773:s:10866529-10866693	-0.41478461987169285;0.41478447882778025
NM_169368:s:10866529-10866693	-0.41478461987169285;0.41478447882778025
NM_169690:s:15955087-15955205	-0.06525640231377372;0.41427367465694814;-0.33543457569100854
NM_079647:s:15955087-15955205	-0.06525640231377372;0.41427367465694814;-0.33543457569100854
NM_001275303:s:23007559-23007707	-0.41369086954507667;0.41369071073230657
NM_079494:s:23007559-23007707	-0.41369086954507667;0.41369071073230657
NM_001043156:s:23007559-23007707	-0.41369086954507667;0.41369071073230657
NM_001259962:s:23007559-23007707	-0.41369086954507667;0.41369071073230657
NM_001259964:s:23007559-23007707	-0.41369086954507667;0.41369071073230657
NM_001259961:s:23007559-23007707	-0.41369086954507667;0.41369071073230657
NM_001272132:s:559664-559906	0.02285561800488812;-0.441565500026611;0.41175195296795475
NM_176367:s:20248080-20248656	-0.04327179942862286;-0.188816014443081;0.41166852316142477;-0.07130124148311745;0.030196309393103252;0.03806223623924304;-0.14271545047298556
NM_001104214:s:4627906-4628349	-0.3275385502746313;-0.09247562420994275;0.41153956003713554
NM_001110931:t:24728289-24728508	0.4107979974959592;-0.4107979977430106
NM_143352:s:28047571-28047721	0.40874965916205663;-0.40874959118677506
NM_001276104:s:28047571-28047721	0.40874965916205663;-0.40874959118677506
NM_001276103:s:28047571-28047721	0.40874965916205663;-0.40874959118677506
NM_001300644:s:28047571-28047721	0.40874965916205663;-0.40874959118677506
NM_137631:s:20324293-20324411	-0.02543739727393595;-0.3735034003819456;0.4078360508146777
NM_153771:s:20324293-20324411	-0.02543739727393595;-0.3735034003819456;0.4078360508146777
NM_001169809:s:23862261-23862593	-0.40583023629143433;0.40583027092709256
NM_001014685:t:94423-95002	0.40337231526377393;-0.4572609304485261;0.08877493988375766;-0.08189863283421359
NM_166720:t:94423-94615	0.40337231526377393;-0.4572609304485261;0.08877493988375766;-0.08189863283421359
NM_079880:t:94423-94615	0.40337231526377393;-0.4572609304485261;0.08877493988375766;-0.08189863283421359
NM_001038709:t:94423-95002	0.40337231526377393;-0.4572609304485261;0.08877493988375766;-0.08189863283421359
NM_166718:t:94423-94615	0.40337231526377393;-0.4572609304485261;0.08877493988375766;-0.08189863283421359
NM_001258477:t:94423-94615	0.40337231526377393;-0.4572609304485261;0.08877493988375766;-0.08189863283421359
NM_001300681:s:30421463-30422971	-0.4016981996892218;0.40169825124959113
NM_001300682:s:30421463-30422971	-0.4016981996892218;0.40169825124959113
NM_001202387:s:30421463-30422971	-0.4016981996892218;0.40169825124959113
NM_143530:s:30421463-30422971	-0.4016981996892218;0.40169825124959113
NM_166201:s:16924925-16925284	-4.821191461511289e-25;-1.3185103151719475e-10;-4.821191461511289e-25;-0.34405831960728317;-3.99958907456503e-06;0.03385506858284477;-4.821191461511289e-25;0.40115402604040384;-4.821191461511289e-25;7.283544315820692e-08
NM_001103880:s:16924925-16925284	-4.821191461511289e-25;-1.3185103151719475e-10;-4.821191461511289e-25;-0.34405831960728317;-3.99958907456503e-06;0.03385506858284477;-4.821191461511289e-25;0.40115402604040384;-4.821191461511289e-25;7.283544315820692e-08
NM_169688:s:15955087-15955205	-0.32951593163386705;0.40097523153632597;-0.0652613396144024
NM_001300421:s:15955087-15955205	-0.32951593163386705;0.40097523153632597;-0.0652613396144024
NM_001275688:s:15955087-15955205	-0.32951593163386705;0.40097523153632597;-0.0652613396144024
NM_001274473:s:4133549-4133822	-0.40073580736086795;0.4007358641866303
NM_001274472:s:4133549-4133822	-0.40073580736086795;0.4007358641866303
NM_001274470:s:4133549-4133822	-0.40073580736086795;0.4007358641866303
NM_001274471:s:4133549-4133822	-0.40073580736086795;0.4007358641866303
NM_001274474:s:4133549-4133822	-0.40073580736086795;0.4007358641866303
NM_001260120:t:11447119-11448362	0.0466091478600113;-0.1250850146465592;0.029465134128379818;-0.2713336206300865;-0.036749345111577424;0.3985940916352928;0.006287710560179821
NM_169390:t:11447119-11448362	0.0466091478600113;-0.1250850146465592;0.029465134128379818;-0.2713336206300865;-0.036749345111577424;0.3985940916352928;0.006287710560179821
NM_001273439:t:10980445-10981112	-0.39810538483323565;0.3981053451281671
NM_001259038:t:10980445-10981112	-0.39810538483323565;0.3981053451281671
NM_164349:t:17053-17212	0.39619235745197984;0.18370860960500845;-0.5678580980456603
NM_080497:s:15981761-15982199	0.396033061141293;0.09607119076720336;-0.4674134342073055
NM_001274977:s:15981761-15982211	0.396033061141293;0.09607119076720336;-0.4674134342073055
NM_080498:s:15981761-15982211	0.396033061141293;0.09607119076720336;-0.4674134342073055
NM_168641:s:15981761-15982211	0.396033061141293;0.09607119076720336;-0.4674134342073055
NM_168640:s:15981761-15982199	0.396033061141293;0.09607119076720336;-0.4674134342073055
NM_001274720:s:9743510-9744087	-0.39464739525390896;0.3946473702255891
NM_001260466:s:31836872-31837181	0.39390756908160734;0.18364236105706883;-0.6022033467726207
NM_001170141:s:15174133-15174343	0.026451617802454752;0.3926933210877647;-0.490967210684736;0.04577372941145523
NM_166192:s:16762097-16762443	0.050502176504064675;0.3918633394864374;-0.4213703559439852
NM_001103876:s:16762097-16762443	0.050502176504064675;0.3918633394864374;-0.4213703559439852
NM_001259444:s:16762097-16762443	0.050502176504064675;0.3918633394864374;-0.4213703559439852
NM_001259445:s:16762097-16762443	0.050502176504064675;0.3918633394864374;-0.4213703559439852
NM_001316424:s:16762097-16762443	0.050502176504064675;0.3918633394864374;-0.4213703559439852
NM_137311:s:16762097-16762443	0.050502176504064675;0.3918633394864374;-0.4213703559439852
NM_001274104:s:16762097-16762443	0.050502176504064675;0.3918633394864374;-0.4213703559439852
NM_166190:s:16762097-16762443	0.050502176504064675;0.3918633394864374;-0.4213703559439852
NM_169466:t:12443485-12443692	0.038242349673448806;0.390215606532625;-0.4228611463057568
NM_001272745:s:18155369-18155594	-0.013858917793206495;0.21448812592921448;-5.17701702305428e-05;-0.09126546089944357;-0.4436293427918611;-0.04724306098960526;0.389085440199107
NM_001170140:s:15174133-15174343	0.38822534633820416;-0.5737725682563509;0.1402206545555687
NM_001298376:t:15884443-15885943	-0.16331869372509694;-1.1415216690307104e-06;-0.18379678450597822;-1.141484199578668e-06;-0.041564756045239716;0.38628062331171364
NM_132858:t:15884443-15885943	-0.16331869372509694;-1.1415216690307104e-06;-0.18379678450597822;-1.141484199578668e-06;-0.041564756045239716;0.38628062331171364
NM_001300004:s:4129651-4129791	0.3832667811458959;-0.3832667951835024
NM_168063:s:4129651-4129791	0.3832667811458959;-0.3832667951835024
NM_168062:s:4129651-4129791	0.3832667811458959;-0.3832667951835024
NM_169687:s:15955087-15955205	-0.2681025578051865;0.38310483364702075;-0.09386042223037844
NM_169685:s:15955087-15955205	-0.2681025578051865;0.38310483364702075;-0.09386042223037844
NM_169684:s:15955087-15955205	-0.2681025578051865;0.38310483364702075;-0.09386042223037844
NM_169689:s:15955087-15955205	-0.2681025578051865;0.38310483364702075;-0.09386042223037844
NM_169686:s:15955087-15955205	-0.2681025578051865;0.38310483364702075;-0.09386042223037844
NM_058042:s:656114-656620	0.38284814950152246;-0.38284816458672216
NM_166861:s:656356-656620	0.38284814950152246;-0.38284816458672216
NM_132685:s:13718129-13718285	-0.382389396662207;0.382389322425668
NM_001300421:t:15959320-15962124	0.38064642875357335;-0.1249558347689516;-0.15214642925653132;-0.09965810966980052
NM_001259923:s:20772605-20772970	-0.048295929856681345;-0.030989227651569987;-0.03904412012807475;-0.21206092098214238;-0.005454705061544533;0.3794273909883371
NM_142570:t:19767526-19771279	-0.3785551107280244;0.37827862503382026;5.334828826856866e-06
NM_001275811:t:19767526-19771279	-0.3785551107280244;0.37827862503382026;5.334828826856866e-06
NM_169873:t:19767526-19771279	-0.3785551107280244;0.37827862503382026;5.334828826856866e-06
NM_001300480:t:19767526-19771279	-0.3785551107280244;0.37827862503382026;5.334828826856866e-06
NM_140582:s:16108852-16109054	-0.3767627692425917;0.3767627056606505
NM_166767:t:560095-560300	-0.09413894229024855;-0.35995351014013754;0.14622046811884815;-0.022795275788729925;0.37372650608874636
NM_078573:s:11689201-11689543	-0.3728040221390092;0.37280400705011396
NM_080384:t:1499043-1499592	0.003961801530302743;-0.43116366986385446;0.3723095218666899
NM_001259707:t:5170187-5170440	0.37096246299294616;-0.3709624911130731
NM_001032236:s:12450069-12450595	0.37015889631466115;-0.039279450346289685;0.0008586021703059553;-0.29998744677635086
NM_130616:t:2060099-2060844	-0.3691081436045964;0.3691081496202549
NM_136760:s:10731659-10731796	-0.018064182070772348;-0.3319236360168448;0.36894334253895844
NM_165796:s:10731566-10731796	-0.018064182070772348;-0.3319236360168448;0.36894334253895844
